hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
427cb75d3d80,67cf05081e361f6f47e20bf1,APPROVED,Not Applicable,2025-03-10T15:28:19Z,2025-03-10T15:34:12Z,2025-03-10T15:34:13Z,2025-03-10T15:34:13Z,354,CLKQ470I,10516,English,40,Male,White,United States,United States,United States,English,No,Full-Time
22d3ceda707f,67cf050b619aaaf67b567916,APPROVED,Not Applicable,2025-03-10T15:28:22Z,2025-03-10T15:34:46Z,2025-03-10T15:34:47Z,2025-03-10T15:34:47Z,385,CLKQ470I,124,English,37,Male,White,United States,United States,United States,English,No,Part-Time
f3048060b033,67cf0518eabf8e8782034e44,APPROVED,Not Applicable,2025-03-10T15:28:30Z,2025-03-10T15:33:53Z,2025-03-10T15:33:54Z,2025-03-10T15:33:54Z,323,CLKQ470I,4378,English,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
93e4886d4d88,67cf051c77fff7ae991ef51b,APPROVED,Not Applicable,2025-03-10T15:28:36Z,2025-03-10T15:34:19Z,2025-03-10T15:34:25Z,2025-03-10T15:34:25Z,344,CLKQ470I,4015,English,52,Female,White,United States,United States,United States,English,No,Full-Time
21b582f0960e,67cf051c833c6ece4d8be864,APPROVED,Not Applicable,2025-03-10T15:28:54Z,2025-03-10T15:37:00Z,2025-03-10T15:37:08Z,2025-03-10T15:37:02Z,486,CLKQ470I,624,English,42,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
af3844921c19,67cf051d840b53cb92f0778a,APPROVED,Not Applicable,2025-03-10T15:28:44Z,2025-03-10T15:52:44Z,2025-03-10T15:52:50Z,2025-03-10T15:52:45Z,1441,CLKQ470I,415,English,35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
5534106d02cd,67cf0521f06d45226335dcd4,APPROVED,Not Applicable,2025-03-10T15:28:43Z,2025-03-10T15:38:19Z,2025-03-10T15:38:20Z,2025-03-10T15:38:20Z,576,CLKQ470I,5,English,42,Female,White,United States,United States,United States,English,No,Full-Time
b0878e69daec,67cf05289be84f5876e27864,APPROVED,Not Applicable,2025-03-10T15:28:48Z,2025-03-10T15:35:14Z,2025-03-10T15:35:15Z,2025-03-10T15:35:15Z,387,CLKQ470I,32,English,35,Female,White,United States,United States,United States,English,No,Full-Time
deab3c04b22a,67cf0529f8c8763c7bf4dec7,APPROVED,Not Applicable,2025-03-10T15:28:47Z,2025-03-10T15:38:52Z,2025-03-10T15:38:52Z,2025-03-10T15:38:52Z,605,CLKQ470I,229,English,61,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
22173736e333,67cf052dee900803a561b027,APPROVED,Not Applicable,2025-03-10T15:28:53Z,2025-03-10T15:39:21Z,2025-03-10T15:39:22Z,2025-03-10T15:39:22Z,628,CLKQ470I,14,English,64,Female,White,United States,United States,United States,English,No,Part-Time
18b24ce0e3fb,67cf0532cadd28fa60daa06f,APPROVED,Not Applicable,2025-03-10T15:28:58Z,2025-03-10T15:35:16Z,2025-03-10T15:35:17Z,2025-03-10T15:35:17Z,379,CLKQ470I,15,English,57,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
